vinícola,vinho,ano,avaliação,num_avaliações,região,preço,tipo,corpo,acidez,Categoria
Mas Doix,1902 Centenary Carignan Priorat,2015.0,4.7,94,Priorato,299.0,Priorat Red,4,3,Vinhos Tintos
Finca Moncloa,Tintilla de Rota,2016.0,4.7,92,Cadiz,43.13,,0,0,Outros
Vega Sicilia,Unico,1953.0,4.7,89,Ribera del Duero,1207.6,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Roda,Cirsion Rioja,2000.0,4.7,87,Rioja,175.0,Rioja Red,4,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015.0,4.7,82,Priorato,1252.35,Priorat Red,4,3,Vinhos Tintos
Bodegas El Nido,El Nido,2019.0,4.7,80,Jumilla,145.9,Red,4,3,Vinhos Tintos
Mas Doix,1902 Centenary Carignan Priorat,2013.0,4.7,74,Priorato,447.95,Priorat Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2006.0,4.7,72,Ribera del Duero,813.96,Ribera Del Duero Red,5,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005.0,4.7,67,Priorato,1410.26,Priorat Red,4,3,Vinhos Tintos
Martinet,Cami Pesseroles,2006.0,4.7,65,Priorato,182.9,Priorat Red,4,3,Vinhos Tintos
Recaredo,Turo d'en Mota,2007.0,4.7,64,Cava,99.0,Cava,2,3,Vinhos Espumantes
Vega Sicilia,Unico Reserva Especial Edicion,1986.0,4.7,63,Ribera del Duero,1113.2,Ribera Del Duero Red,5,3,Vinhos Tintos
Clos Erasmus,Priorat,2007.0,4.7,60,Priorato,654.31,Priorat Red,4,3,Vinhos Tintos
Pago de Los Capellanes,Parcela El Picon Tinto,2016.0,4.7,59,Ribera del Duero,134.26,Ribera Del Duero Red,5,3,Vinhos Tintos
Barbadillo,Reliquia Palo Cortado Sherry,,4.7,58,Jerez Palo Cortado,380.0,Sherry,4,3,Vinhos Fortificados
La Rioja Alta,Gran Reserva 890,1982.0,4.7,57,Rioja,292.09,Rioja Red,4,3,Vinhos Tintos
Gonzalez-Byass,Anada Palo Cortado 1987,1987.0,4.7,53,Jerez Palo Cortado,400.85,Sherry,4,3,Vinhos Fortificados
Clos Erasmus,Daphne Glorian Red,2007.0,4.7,51,Priorato,202.01,Red,4,3,Vinhos Tintos
Toro Albala,Don PX Pedro Ximenez,1955.0,4.7,50,Montilla-Moriles,250.0,Pedro Ximenez,5,1,Vinhos Fortificados
Vinedos de Paganos,La Nieta,2019.0,4.7,49,Rioja,88.9,Rioja Red,4,3,Vinhos Tintos
Bodegas Amaren,El Regollar,2016.0,4.7,49,Rioja,77.9,Rioja Red,4,3,Vinhos Tintos
Toro Albala,Don PX Convento Seleccion,1958.0,4.7,47,Montilla-Moriles,191.61,Pedro Ximenez,5,1,Vinhos Fortificados
Teso La Monja,Alabaster,2018.0,4.7,45,Toro,123.89,Toro Red,5,3,Vinhos Tintos
Alvear,Abuelo Diego Palo Cortado,,4.7,42,Montilla-Moriles,114.28,Pedro Ximenez,5,1,Vinhos Fortificados
Equipo Navazos,La Bota 78 de Oloroso,,4.7,41,Manzanilla,95.57,Sherry,4,3,Vinhos Fortificados
Morca,Touran,2018.0,4.7,41,Campo de Borja,93.95,Grenache,5,3,Vinhos Tintos
Territorio Luthier,Luthier Gran Reserva,2012.0,4.7,40,Ribera del Duero,248.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Artadi,Vina El Pison,1995.0,4.7,39,Vino de Espana,397.0,Tempranillo,4,2,Vinhos Tintos
Rafael Palacios,Sorte O Soro Val do Bibei,2019.0,4.7,37,Valdeorras,194.86,,0,0,Outros
Recaredo,Reserva Particular de Recaredo Brut Nature,2011.0,4.7,35,Cava,65.05,Cava,2,3,Vinhos Espumantes
Bodegas Mauro,Terreus Paraje de Cueva Baja,2019.0,4.7,33,Castilla y Leon,86.9,Tempranillo,4,2,Vinhos Tintos
Vina Sastre,Pesus Ribera del Duero,2004.0,4.7,32,Ribera del Duero,472.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Terra Remota,Usted,2010.0,4.7,31,Emporda,379.0,Red,4,3,Vinhos Tintos
Dehesa de Los Canonigos,Gran Reserva,2001.0,4.7,31,Ribera del Duero,185.15,Ribera Del Duero Red,5,3,Vinhos Tintos
Vina Sastre,Regina Vides Ribera del Duero,1998.0,4.7,30,Ribera del Duero,94.2,Ribera Del Duero Red,5,3,Vinhos Tintos
Miguel Merino,La Loma,2018.0,4.7,29,Rioja Alta,46.0,Rioja Red,4,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016.0,4.7,28,Priorato,919.6,Priorat Red,4,3,Vinhos Tintos
Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987.0,4.7,27,Alicante,81.9,,0,0,Outros
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942.0,4.7,27,Rioja,680.0,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2011.0,4.6,6803,Ribera del Duero,218.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2012.0,4.6,5938,Ribera del Duero,177.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2008.0,4.6,5545,Ribera del Duero,187.3,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2007.0,4.6,5116,Ribera del Duero,195.59,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2013.0,4.6,4747,Ribera del Duero,135.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2009.0,4.6,4685,Ribera del Duero,225.2,Ribera Del Duero Red,5,3,Vinhos Tintos
Alion,Ribera del Duero,2016.0,4.6,4516,Ribera del Duero,79.8,Ribera Del Duero Red,5,3,Vinhos Tintos
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017.0,4.6,3383,Ribera del Duero,116.19,Ribera Del Duero Red,5,3,Vinhos Tintos
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018.0,4.6,3239,Ribera del Duero,89.3,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010.0,4.6,2416,Rioja,438.9,Rioja Red,4,3,Vinhos Tintos
Alion,Ribera del Duero,2017.0,4.6,2208,Ribera del Duero,79.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2004.0,4.6,1608,Ribera del Duero,249.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Flor de Pingus,2018.0,4.6,1363,Ribera del Duero,129.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019.0,4.6,1108,Ribera del Duero,76.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2000.0,4.6,1015,Ribera del Duero,252.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2002.0,4.6,936,Ribera del Duero,232.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodega Numanthia,Termanthia,2012.0,4.6,840,Toro,214.0,Toro Red,5,3,Vinhos Tintos
Bodega Numanthia,Termanthia,2011.0,4.6,790,Toro,205.0,Toro Red,5,3,Vinhos Tintos
Carmelo Rodero,Pago De Valtarrena,2015.0,4.6,700,Ribera del Duero,49.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Sanchomartin,2011.0,4.6,693,Ribera del Duero,125.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,1999.0,4.6,595,Ribera del Duero,276.8,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Valderramiro,2015.0,4.6,516,Ribera del Duero,75.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2010.0,4.6,410,Ribera del Duero,1359.75,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Carraovejas,Cuesta de Las Liebres,2010.0,4.6,405,Ribera del Duero,81.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2012.0,4.6,400,Ribera del Duero,890.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio del Bendito,El Titan del Bendito,2015.0,4.6,388,Toro,43.5,Toro Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Sanchomartin,2015.0,4.6,369,Ribera del Duero,99.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2013.0,4.6,323,Ribera del Duero,1198.72,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015.0,4.6,313,Castilla y Leon,94.95,Tempranillo,4,2,Vinhos Tintos
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016.0,4.6,304,Castilla y Leon,89.0,Tempranillo,4,2,Vinhos Tintos
Dominio de Pingus,Pingus,2005.0,4.6,293,Ribera del Duero,1785.96,Ribera Del Duero Red,5,3,Vinhos Tintos
Vinedos de Paganos,La Nieta,2017.0,4.6,286,Rioja,108.21,Rioja Red,4,3,Vinhos Tintos
Artadi,Vina El Pison,2006.0,4.6,274,Vino de Espana,391.5,Tempranillo,4,2,Vinhos Tintos
Dominio de Pingus,Pingus,1998.0,4.6,244,Ribera del Duero,1350.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Roda,Cirsion Rioja,2007.0,4.6,242,Rioja,145.0,Rioja Red,4,3,Vinhos Tintos
Bodegas Roda,Cirsion Rioja,2012.0,4.6,231,Rioja,173.38,Rioja Red,4,3,Vinhos Tintos
Bodega Contador (Benjamin Romeo),Contador Rioja,2011.0,4.6,225,Rioja,220.0,Rioja Red,4,3,Vinhos Tintos
Marques de Murrieta,Dalmau Rioja,2017.0,4.6,222,Rioja,85.7,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1965.0,4.6,218,Ribera del Duero,2884.04,Ribera Del Duero Red,5,3,Vinhos Tintos
Sierra Cantabria,Finca el Bosque,2015.0,4.6,214,Rioja,79.9,Rioja Red,4,3,Vinhos Tintos
Vina Sastre,Pago de Santa Cruz,2018.0,4.6,211,Ribera del Duero,68.7,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2003.0,4.6,205,Ribera del Duero,1638.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Mas d'en Gil,Clos Fonta Priorat,2004.0,4.6,202,Priorato,150.0,Priorat Red,4,3,Vinhos Tintos
Carmelo Rodero,Pago De Valtarrena,2016.0,4.6,200,Ribera del Duero,48.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Los Capellanes,Parcela El Picon Tinto,2014.0,4.6,197,Ribera del Duero,109.41,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Sanchomartin,2014.0,4.6,186,Ribera del Duero,119.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,1992.0,4.6,176,Ribera del Duero,195.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2014.0,4.6,172,Ribera del Duero,1595.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Artadi,Vina El Pison,2010.0,4.6,169,Vino de Espana,519.55,Tempranillo,4,2,Vinhos Tintos
Pago de Los Capellanes,Parcela El Picon Tinto,2012.0,4.6,165,Ribera del Duero,89.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Artadi,Vina El Pison,2011.0,4.6,165,Vino de Espana,511.9,Tempranillo,4,2,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999.0,4.6,164,Priorato,980.0,Priorat Red,4,3,Vinhos Tintos
Casa Castillo,Cuvee N Vinas Viejas,2015.0,4.6,160,Jumilla,73.0,Red,4,3,Vinhos Tintos
Artadi,Vina El Pison,2012.0,4.6,159,Vino de Espana,280.0,Tempranillo,4,2,Vinhos Tintos
